Potential (V),Current (µA)
-0.163321,0.0
-0.16547,1.1199951000000002e-05
-0.167619,1.1199951000000002e-05
-0.169768,0.0
-0.17191599999999999,5.5999750000000005e-06
-0.174065,1.1199951000000002e-05
-0.17621399999999998,1.1199951000000002e-05
-0.178363,0.0
-0.18051199999999998,1.1199951000000002e-05
-0.182661,1.1199951000000002e-05
-0.18481,0.0
-0.186959,5.5999750000000005e-06
-0.189108,1.6799928e-05
-0.19125699999999998,1.1199951000000002e-05
-0.193406,0.0
-0.19555499999999998,1.1199951000000002e-05
-0.197704,1.6799928e-05
-0.199853,5.5999750000000005e-06
-0.202002,5.5999750000000005e-06
-0.204151,1.6799928e-05
-0.20629999999999998,1.1199951000000002e-05
-0.208449,0.0
-0.21059799999999998,1.1199951000000002e-05
-0.212747,1.6799928e-05
-0.214896,5.5999750000000005e-06
-0.217045,5.5999750000000005e-06
-0.219194,1.6799928e-05
-0.22134299999999998,1.1199951000000002e-05
-0.223492,0.0
-0.22564099999999998,1.1199951000000002e-05
-0.227789,1.6799928e-05
-0.22993799999999998,0.0
-0.232087,0.0
-0.234236,1.1199951000000002e-05
-0.23638499999999998,1.1199951000000002e-05
-0.238534,0.0
-0.24068299999999998,1.1199951000000002e-05
-0.242832,1.1199951000000002e-05
-0.24498099999999998,5.5999750000000005e-06
-0.24713,5.5999750000000005e-06
-0.249279,1.6799928e-05
-0.251428,1.1199951000000002e-05
-0.253577,0.0
-0.255726,1.1199951000000002e-05
-0.25787499999999997,1.6799928e-05
-0.260024,5.5999750000000005e-06
-0.262173,5.5999750000000005e-06
-0.264322,1.1199951000000002e-05
-0.266471,1.1199951000000002e-05
-0.26861999999999997,0.0
-0.270769,5.5999750000000005e-06
-0.272918,1.1199951000000002e-05
-0.275067,5.5999750000000005e-06
-0.27721599999999996,0.0
-0.279365,1.1199951000000002e-05
-0.281514,1.1199951000000002e-05
-0.283663,0.0
-0.285811,5.5999750000000005e-06
-0.28796,1.1199951000000002e-05
-0.290109,5.5999750000000005e-06
-0.29225799999999996,0.0
-0.294407,1.6799928e-05
-0.296556,1.1199951000000002e-05
-0.298705,0.0
-0.300854,5.5999750000000005e-06
-0.30300299999999997,1.6799928e-05
-0.305152,5.5999750000000005e-06
-0.307301,0.0
-0.30945,1.1199951000000002e-05
-0.31159899999999996,1.1199951000000002e-05
-0.31374799999999997,0.0
-0.315897,5.5999750000000005e-06
-0.318046,1.6799928e-05
-0.320195,5.5999750000000005e-06
-0.32234399999999996,5.5999750000000005e-06
-0.324493,1.1199951000000002e-05
-0.326642,1.1199951000000002e-05
-0.328791,0.0
-0.33094,5.5999750000000005e-06
-0.33308899999999997,1.6799928e-05
-0.335238,5.5999750000000005e-06
-0.337387,0.0
-0.339536,1.6799928e-05
-0.341684,1.1199951000000002e-05
-0.343833,0.0
-0.345982,5.5999750000000005e-06
-0.34813099999999997,1.6799928e-05
